<Year,Year Days,Luna Day 1,Month Names,,,,,,,,,,,,,Month Days,,,,,,,,,,,,>
<1977,28125,28173,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,120,149,179,208,238,267,297,326,355>
<1978,28490,28527,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,120,149,179,209,238,268,297,327,356>
<1979,28855,28882,1,2,3,4,5,6,6,7,8,9,10,11,12,1,31,60,89,119,148,178,208,237,267,297,326,356>
<1980,29220,29266,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,89,119,148,178,207,237,267,296,326,356>
<1981,29586,29621,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,118,148,177,206,236,266,295,325,355>
<1982,29951,29975,1,2,3,4,4,5,6,7,8,9,10,11,12,1,31,60,90,119,148,178,207,236,266,295,325,355>
<1983,30316,30359,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,148,178,207,236,266,295,325,355>
<1984,30681,30713,1,2,3,4,5,6,7,8,9,10,10,11,12,1,31,60,90,120,149,178,208,237,266,296,325,355>
<1985,31047,31097,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,90,119,149,178,208,237,266,296,325,355>
<1986,31412,31451,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,90,119,149,179,208,238,267,297,326,355>
<1987,31777,31805,1,2,3,4,5,6,6,7,8,9,10,11,12,1,31,60,90,119,149,179,208,238,268,297,327,356>
<1988,32142,32189,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,149,178,208,238,267,297,327,356>
<1989,32508,32544,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,89,119,148,178,207,237,266,296,326,356>
<1990,32873,32899,1,2,3,4,5,5,6,7,8,9,10,11,12,1,30,60,89,118,148,177,206,236,265,295,325,355>
<1991,33238,33283,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,118,148,177,206,236,265,295,325,355>
<1992,33603,33637,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,90,119,148,178,207,236,266,295,325,355>
<1993,33969,33991,1,2,3,3,4,5,6,7,8,9,10,11,12,1,30,60,90,119,149,178,208,237,266,296,325,355>
<1994,34334,34374,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,61,91,120,150,179,209,238,267,297,326,356>
<1995,34699,34729,1,2,3,4,5,6,7,8,8,9,10,11,12,1,30,60,90,119,149,178,208,238,267,296,326,355>
<1996,35064,35113,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,119,148,178,207,237,267,297,326,355>
<1997,35430,35467,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,149,178,208,238,267,297,327,356>
<1998,35795,35822,1,2,3,4,5,5,6,7,8,9,10,11,12,1,31,60,89,119,148,177,207,237,266,296,326,355>
<1999,36160,36206,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,89,119,148,177,207,236,266,296,326,355>
<2000,36525,36560,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,61,90,119,149,178,207,237,266,296,326,355>
<2001,36891,36914,1,2,3,4,4,5,6,7,8,9,10,11,12,1,31,61,90,120,149,179,208,237,267,296,326,355>
<2002,37256,37298,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,61,90,120,149,179,208,237,267,296,326,355>
<2003,37621,37652,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,61,90,120,150,179,209,238,267,297,326,356>
<2004,37986,38007,1,2,2,3,4,5,6,7,8,9,10,11,12,1,30,60,89,119,149,178,208,237,267,296,326,355>
<2005,38352,38391,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,119,148,178,208,237,267,296,326,355>
<2006,38717,38745,1,2,3,4,5,6,7,7,8,9,10,11,12,1,31,60,90,119,149,178,208,237,267,297,326,356>
<2007,39082,39130,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,59,89,118,147,177,206,236,266,296,325,355>
<2008,39447,39484,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,89,119,148,177,207,236,266,296,325,355>
<2009,39813,39838,1,2,3,4,5,5,6,7,8,9,10,11,12,1,31,61,90,119,149,178,207,237,266,296,325,355>
<2010,40178,40222,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,149,178,207,237,266,296,325,355>
<2011,40543,40576,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,120,149,179,208,237,267,296,326,355>
<2012,40908,40930,1,2,3,4,4,5,6,7,8,9,10,11,12,1,31,60,90,120,149,179,208,238,267,297,326,356>
<2013,41274,41314,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,149,179,208,238,267,297,326,356>
<2014,41639,41669,1,2,3,4,5,6,7,8,9,9,10,11,12,1,30,60,89,119,148,178,207,237,267,296,326,355>
<2015,42004,42053,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,118,148,177,207,237,267,296,326,355>
<2016,42369,42407,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,148,178,207,237,267,296,326,356>
<2017,42735,42762,1,2,3,4,5,6,6,7,8,9,10,11,12,1,30,60,89,119,148,177,207,236,266,295,325,355>
<2018,43100,43146,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,119,148,177,207,236,266,295,325,355>
<2019,43465,43500,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,149,178,207,237,266,295,325,355>
<2020,43830,43854,1,2,3,4,4,5,6,7,8,9,10,11,12,1,30,60,90,120,149,179,208,237,267,296,326,355>
<2021,44196,44238,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,90,119,149,178,208,237,267,296,326,355>
<2022,44561,44592,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,149,179,208,238,267,297,326,356>
<2023,44926,44947,1,2,2,3,4,5,6,7,8,9,10,11,12,1,30,60,89,118,148,178,207,237,267,296,326,355>
<2024,45291,45331,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,118,148,177,207,237,266,296,326,355>
<2025,45657,45685,1,2,3,4,5,6,6,7,8,9,10,11,12,1,31,60,90,119,148,178,207,237,266,296,326,356>
<2026,46022,46069,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,148,178,207,236,266,296,326,355>
<2027,46387,46423,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,61,90,120,149,178,208,237,266,296,326,355>
<2028,46752,46777,1,2,3,4,5,5,6,7,8,9,10,11,12,1,31,61,91,120,150,179,208,238,267,296,326,356>
